Lp.;nazwa JST;wojewodztwo;powiat;typ JST*;nazwa urzędu JST;siedziba urzędu;;;;;nr telefonu;;;nr faksu;;dane wójta/burmistrza/prezydenta/starosty;;;adres mail'owy sekretarza gminy/powiatu;ogólny adres mail'owy gminy/powiatu;adres www jednostki
;;;;;;poczta;kod pocztowy;miejscowość;ulica (pełna nazwa);nr posesji;kierunkowy;bezpośredni;wewn.;kierunkowy;bezpośredni;stanowisko;imię;nazwisko;;;
Województwo dolnośląskie;;;;;;;;;;;;;;;;;;;;;
1;Bolesławiec-miasto;dolnośląskie;bolesławiecki;GM;Urząd Miasta Bolesławiec;Bolesławiec;59-700;Bolesławiec;Rynek-Ratusz;41;(75);645-64-51;451;(75);645-64-02;Prezydent;Piotr;Roman;sekretarz@um.boleslawiec.pl;umboleslawiec@um.boleslawiec.pl;www.um.boleslawiec.pl
2;Bielawa;dolnośląskie;dzierżoniowski;GM;Urząd Miasta Bielawa;Bielawa;58-260;Bielawa;pl. Wolności;1;(74);833-46-63;745;(74);833-58-38;Burmistrz;Ryszard;Dźwiniel;as@um.bielawa.pl;um@um.bielawa.pl;www.bielawa.pl
3;Dzierżoniów-miasto;dolnośląskie;dzierżoniowski;GM;Urząd Miasta Dzierżoniów;Dzierżoniów;58-200;Dzierżoniów;ul. Rynek;1;(74);645-08-00;;(74);641-55-30;Burmistrz;Marek;Piorun;burmistrz@um.dzierzoniow.pl;um@um.dzierzoniow.pl;www.dzierzoniow.pl
4;Pieszyce;dolnośląskie;dzierżoniowski;GM;Urząd Miasta Pieszyce;Pieszyce;58-250;Pieszyce;ul.Kościuszki;2;(74);836-54-87;;(74);836-72-30;Burmistrz;Mirosław;Obal;sylwia@pieszyce.pl;promocja@pieszyce.pl;www.pieszyce.pl
5;Pilawa Górna;dolnośląskie;dzierżoniowski;GM;Urząd Miasta Pilawa Górna;Pilawa Górna;58-240;Pilawa Górna;ul. Piastowska;29;(74);832-49-17;;(74);837-13-86;Burmistrz;Zuzanna;Bielawska;jmikus@pilawagorna.pl ;um@pilawagorna.pl;www.pilawagorna.pl 
6;Głogów-miasto;dolnośląskie;głogowski;GM;Urząd Miasta Głogów;Głogów;67-200;Głogów;Rynek;10;(76);726-54-01;;(76);726-55-98;Prezydent;Jan Kazimierz;Zubowski;umglogow@lg.onet.pl;umglogow@lg.onet.pl;http://www.glogow.pl/
7;Jawor;dolnośląskie;jaworski;GM;Urząd Miasta Jawor;Jawor;59-400;Jawor;Rynek;1;(76);870-22-01;;(76);870-22-02;Burmistrz;Artur Mieczysław;Urbański;um@jawor.pl;um@jawor.pl;www.jawor.pl
8;Jelenia Góra;dolnośląskie;jeleniogórski;GM;Urząd Miasta Jelenia Góra;Jelenia Góra;58-500;Jelenia Góra;Pl. Ratuszowy;58;(75);754-61-03;;(75);754-61-59;Prezydent;Marcin;Zawiła;sekretarz_um@jeleniagora.pl;ratusz_um@jeleniagora.pl;http://um.jeleniagora.pl/
9;Karpacz;dolnośląskie;jeleniogórski;GM;Urząd Miasta Karpacz;Karpacz;58-540;Karpacz;ul. Konstytucji 3 Maja;54;(75);761-99-75;;(75);761-92-24;Burmistrz;Bogdan;Malinowski;urzad.miasta@karpacz.eu;urzad.miasta@karpacz.eu;www.karpacz.eu
10;Kowary;dolnośląskie;jeleniogórski;GM;Urząd Miasta Kowary;Kowary;58-530;Kowary;ul.1 Maja;1a;(75);718-24-16;;(75);761-31-73;Burmistrz;Mirosław;Górecki;bok@kowary.pl;bok@kowary.pl;www.kowary.pl
11;Piechowice;dolnośląskie;jeleniogórski;GM;Urząd Miasta Piechowice;Piechowice;58-573;Piechowice;ul. Żymierskiego;49;(75);754-89-00;;(75);761-22-74;Burmistrz;Witold;Rudolf;sekretarz@piechowice.pl;sekretariat@piechowice.pl;www.piechowice.pl
12;Szklarska Poręba;dolnośląskie;jeleniogórski;GM;Urząd Miasta Szklarska Poręba;Szklarska Poręba;58-580;Szklarska Poręba;ul. Buczka;2;(75);754-77-08;;(75);754-77-24;Burmistrz;Grzegorz;Sokoliński;sekretarz@szklarskaporeba.pl;sekretariat@szklarskaporeba.pl;www.szklarskaporeba.pl
13;Kamienna Góra-miasto;dolnośląskie;kamiennogórski;GM;Urząd Miasta Kamienna Góra;Kamienna Góra;58-400;Kamienna Góra;PL. Grunwaldzki;1;(75);645-51-10;;(75);645-51-50;Burmistrz;Krzysztof;Świątek;powiat@kamienna-gora.pl;powiat@kamienna-gora.pl;http://www.kamiennagora.pl/
14;Duszniki Zdrój;dolnośląskie;kłodzki;GM;Urząd Miasta Duszniki Zdrój;Duszniki Zdrój;57-340;Duszniki Zdrój;ul. Rynek;6;(74);869-76-60;;(74);866-90-25;Burmistrz;Andrzej;Rymarczyk;duszniki@duszniki.pl;duszniki@duszniki.pl;www.duszniki.pl
15;Kłodzko-miasto;dolnośląskie;kłodzki;GM;Urząd Miasta Kłodzko;Kłodzko;57-300;Kłodzko;pl. Bolesława Chrobrego;1;(74);865-46-11;;(74);867-40-62;Burmistrz;Bogusław;Szpytna;umklod@um.klodzko.pl;umklod@um.klodzko.pl;www.um.klodzko.pl
16;Kudowa-Zdrój;dolnośląskie;kłodzki;GM;Urząd Miasta Kudowa-Zdrój;Kudowa-Zdrój;57-350;Kudowa-Zdrój;ul. Zdrojowa;24;(74);862-17-16;;(74);866-13-51;Burmistrz;Czesław Kazimierz;Kręcichwost;sekretarz@kudowa.pl;kudowa@kudowa.pl;www.kudowa.pl
17;Nowa Ruda-miasto;dolnośląskie;kłodzki;GM;Urząd Miasta Nowa-Ruda;Nowa-Ruda;57-400;Nowa-Ruda;Rynek;1;(74);872-03-15;;(74);872-22-68;Burmistrz;Tomasz;Kiliński;miasto@um.nowaruda.pl;miasto@um.nowaruda.pl;www.um.nowaruda.pl
18;Polanica-Zdrój;dolnośląskie;kłodzki;GM;Urząd Miasta Polanica-Zdrój;Polanica-Zdrój;57-320;Polanica-Zdrój;ul. Jarosława Dąbrowskiego;3;(74);868-06-00;;(74);868-10-46;Burmistrz;Jerzy;Terlecki;um@polanica.pl;um@polanica.pl;www.polanica.pl
19;Chojnów-miasto;dolnośląskie;legnicki;GM;Urząd Miasta Chojnów;Chojnów;59-225;Chojnów;pl. Zamkowy;1;(76);818-82-85;;(76);818-86-77;Burmistrz;Jan;Serkies;urzad.miejski@chojnow.net.pl;urzad.miejski@chojnow.net.pl;www.chojnow.eu
