category_id;category_parent;category;name;created;official;official_name;official_lastname;address_street;address_num;address_line1;address_line2;address_postalcode;address_city;tel_code;tel_number;tel_internal;tel1_code;tel1_number;tel2_code;tel2_number;fax_code;fax_number;web_site;web_site1;description;notes
405;;Defunct Bodies;;;;;;;;;;;;;;;;;;;;;;;;
1;;Administracja lokalna;Aa Scratchi;02.12.2012;Prezydent;Czeslaw;Lupka;Kamińska;13/9;;;23098;Warszawa;11;2420987;224;11;2420988;11;2420981;11;2420899;http://www.whatdotheyknow.com/body/dvla;http://www.whatdotheydontknow.org/;" Dla turystów most to spora atrakcja. Gdy się już upewnią, że z naprawdę można z niego skorzystać, często dokumentują przejazd, filmując wybijające rytm deski. Video publikują potem w internecie. W serwisie YouTube można znaleźć dużo takich, na którch udokumentowali swój przejazd niebezpieczną przeprawą.

- Jechałem tamtędy taksówką. Taksówkarz uprzedził, że pokaże nam lokalną ""atrakcję"" - mówi w rozmowie z tvn24.pl jeden z turystów. - Aż strach jechać przez ten most. Cały trzeszczy i podskakuje - opisuje.";"Bajeczne skarby, mumia faraona i tajemnicza ""klątwa""."
406;405;Defunct Profiles;;;;;;;;;;;;;;;;;;;;;;;;
2;1;DOLNOŚLĄSKIE;;;;;;;;;;;;;;;;;;;;;;;;
381;2;Jelenia Góra;Devon County Council;15.01.2013;Mr.;Tijmen;Tillibaumann;Kamińska;13/9;;;23098;Włoszowka;11;121314159;;;;;;;;;;;
381;2;Jelenia Góra;Jelenia Góa, Urząd Miasta Jelenia Góra;02.12.2012;Prezydent;Marcin;Zawiła;Pl.Ratuszowy;58;;;58500;Jelenia Góa;75;7546103;;;;;;75;7546210;www.jeleniagora.pl;;;
382;2;Legnica;Assessor for Dumfries and Galloway Council;15.01.2013;Cancellor;Witek;Słupek;Baluckiego;1;;;080888;Chernowcy;46;92601800;;;;;;;;;;;
382;2;Legnica;Legnica, Urząd Miasta Legnicy;02.12.2012;Prezydent;Tadeusz;Krzakowski;Plac Słowianski;8;;;59220;Legnica;76;7212100;;;;;;76;7212116;www.portal.legnica.eu;;;
383;2;Wrocław;Wrocław, Urząd Miejski we Wrocławiu;02.12.2012;Prezydent;Rafał;Dudkiewicz;Pl. Nowy Targ;1/8;;;50141;Wrocław;71;7778201;;;;;;71;7777277;www.wroclaw.pl;;;
3;2;bolesławiecki;Bolesławiec, Starostwo Powiatowe;02.12.2012;Starosta;Cezary;Przybylski;Pl. Piłsudskiego;2;;;59700;Bolesławiec;75;7323258;;;;;;75;7323250;www.powiatboleslawiecki.pl;;;
3;2;bolesławiecki;Bolesławiec, Urząd Gminy;02.12.2012;Wójt;Andrzej Zbigniew;Dutkowski;ul.Teatralna;1a;;;59700;Bolesławiec;75;7323221;;;;;;75;7351783;www.gminaboleslawiec.pl;;;
3;2;bolesławiecki;Bolesławiec, Urząd Miasta Bolesławiec;02.12.2012;Prezydent;Piotr;Roman;Rynek-Ratusz;41;;;59700;Bolesławiec;75;6456451;451;;;;;75;6456402;www.um.boleslawiec.pl;;;
3;2;bolesławiecki;Gromadka, Urząd Gminy;02.12.2012;Wójt;Dariusz;Pawliszczy;ul. gen. Wł. Sikorskiego;9;;;59706;Gromadka;75;7382452;;;;;;75;7382472;www.gromadka.pl;;;
3;2;bolesławiecki;Nowogrodziec, Urząd Miejski w Nowogrodźcu;02.12.2012;Burmistrz;Robert Marek;Relich;Rynek;1;;;59730;Nowogrodziec;75;7380671;;;;;;75;7316416;www.nowogrodziec.pl;;;
3;2;bolesławiecki;Osiecznica, Urząd Gminy;02.12.2012;Wójt;Waldemar Jerzy;Nalazek;ul. Lubańska;43;;;59724;Osiecznica;75;7312107;;;;;;75;7312148;www.osiecznica.ug.gov.pl;;;
3;2;bolesławiecki;Warta Bolesławiecka, Urząd Gminy;02.12.2012;Wójt;Mirosław;Haniszewski;Warta Bolesławiecka;40c;;;59720;Warta Bolesławiecka;75;7389592;;;;;;75;7389523;www.wartabol.pl;;;
4;2;dzierżoniowski;Łagiewniki, Urząd Gminy;02.12.2012;Wójt;Janusz;Szpot;ul. Jedności Narodowej;21;;;58210;Łagiewniki;74;8939455;;;;;;74;8940130;www.lagiewniki.pl;;;
4;2;dzierżoniowski;Bielawa, Urząd Miasta Bielawa;02.12.2012;Burmistrz;Ryszard;Dźwiniel;pl. Wolności;1;;;58260;Bielawa;74;8334663;745;;;;;74;8335838;www.bielawa.pl;;;
4;2;dzierżoniowski;Dzierżoniów, Starostwo Powiatowe;02.12.2012;Starosta;Janusz;Guzdek;Rynek;27;;;58200;Dzierżoniów;74;8321864;;;;;;74;8321860;www.pow.dzierzoniow.pl;;;
4;2;dzierżoniowski;Dzierżoniów, Urząd Gminy;02.12.2012;Wójt;Marek;Chmielewski;ul. Piastowska;1;;;58200;Dzierżoniów;74;8325695;;;;;;74;8325694;www.ug.dzierzoniow.pl;;;
4;2;dzierżoniowski;Dzierżoniów, Urząd Miasta Dzierżoniów;02.12.2012;Burmistrz;Marek;Piorun;ul. Rynek;1;;;58200;Dzierżoniów;74;6450800;;;;;;74;6415530;www.dzierzoniow.pl;;;
4;2;dzierżoniowski;Niemcza, Urząd Miasta i Gminy Niemcza;02.12.2012;Burmistrz;Grzegorz;Kosowski;Rynek;10;;;58230;Niemcza;74;8376265;13;;;;;74;8376280;www.um.niemcza.pl;;;
4;2;dzierżoniowski;Pieszyce, Urząd Miasta Pieszyce;02.12.2012;Burmistrz;Mirosław;Obal;ul.Kościuszki;2;;;58250;Pieszyce;74;8365487;;;;;;74;8367230;www.pieszyce.pl;;;
4;2;dzierżoniowski;Pilawa Górna, Urząd Miasta Pilawa Górna;02.12.2012;Burmistrz;Zuzanna;Bielawska;ul. Piastowska;29;;;58240;Pilawa Górna;74;8324917;;;;;;74;8371386;www.pilawagorna.pl;;;
253;2;górowski;Góra, Starostwo Powiatowe;02.12.2012;Starosta;Piotr;Wołowicz;ul. Mickiewicza;1;;;56200;Góra;65;5443900;903;;;;;65;5433511;www.powiatgora.pl;;;
